Name,Artist,Album,Track Number
Oy Akşamlar,Nihat Doğan,1071,9
Yıllarca Sinende Gezdirdin Beni,Orhan Hakalmaz,Türkü Yılı 2005,13
Yetmez Ki Canım,Hüseyin Altın,Gecelerin Adamı,5
Delikanlım,Yildiz Tilbe,Delikanlım,1
Niğde Bağları,Kürsat,Kürşat 2012,6
Yeminimi Bozdurma,Ogan Aydin,Kader Uğruna - Kollarında,2
Onlar Utansın,Gaye Aksu,Yarali Kus,5
Dostum,Recebim,Dostum,8
Müjde,Nalan,Cayır Cayır,8
Ne Severmişim Seni,Ardıç,Kalbinizin Attığı Yerdeyim,1
Bırakma Beni (Vicdansız),Sinan Zorbey,Zoruma Gider,3
Ömrüm Seninle Geçsin,İzzet Yıldızhan,Tokat,4
Gidiyor İşte,Cansever,Cansever,6
Yaralı Kalbim,Davut Güloğlu,Kopalım Bari,3
Senin İhanetini Ayakta Alkışlıyorum,Çılgın Sedat,Siraç Bebeğime,2
Vermem,Ferda Anıl Yarkın,Ayrılmayalım,1
Diyemedim,Zafer Peker,Aşkımız Var Gibi,10
Yüreğime Ektim Seni,Soner Arica,Aşkla Oldu (Best Of),6
Ömrümü Yedin Zalim,Bülent Serttas,Bitmez Sana Sevdalarım,8
Yıllar Önce Gel,Burçin,Burçin V,1
Kirli Gömlek,Petek Dinçöz,Milat,9
Mum Yak da Ara,Hilal Cebeci,En Güzel Ben Severim,6
Elveda Deme Bana,Ercan Demirel,Elveda Deme Bana,1
Haketmemiştim,Hatice,Tenin Tenime,1
Bir Seni Düşündüm,Gökhan Güney,Yinemi Sen,6
Söylenmemiş Sözler,Aslı Güngör,Aslı Gibidir,2
Üzüm Karası,Şebnem Kısaparmak,Yıldız Gibi,8
Deli Deli,Atilla Kaya,Sev Dostum,8
Sen Gideli,Ankarali Turgut,Bay Bay / Şakır Şakır,12
Derdime,Yusuf Harputlu,Zamanı Geldi,7
Yabancı,Mahmut Tuncer,Bu Nasıl Sevda,8
Geceler,Destan,Destan,5
Eller Aldı,Malatyali Ibrahim,Ayrılık Kaderimiz,6
Sarkilar Söyle,Selahattin Özdemir,Gidemezsin,3
İnce Giyerim İnce,Tuncay Tuncel,Dağların Ardında / Sevda,9
Böyle Devirde,Devran Çağlar,Devran Çağlar,10
Koca Dünya,Songül Karli,Kaç Bahar,7
Sensiz Olamam,İntizar,Nazar Boncugum,1
Kurtların Sofrası,Ismail Türüt,Erkan Ocaklı,1
Gönlümsün,Faruk K,Kalbimin Sesi,4
Deli Dolu,Osman Öztunc,Geri Dönmedi,8
Gelmiş Bahar,Murat Göğebakan,Aşkın Gözyaşları,6
Ben Ölürüm,Bülent Serttas,Emir,7
Gözümün Nuru,Gülnaz,Gözümün Nuru,1
Sensiz Olmuyor Gülüm,Küçük İbo,Sensiz Olmuyor Gülüm,9
Sevda Meleğim,Altay,Berduş,8
Unuttum,Haktan,"Baba Şarkılar, Vol. 2",1
İşte O Sensin,Murat Başaran,İşte O Sensin,3
İnsan Gelmez Mi,Mehmet Yakar,İnsan Gelmez Mi,2
Aska Mahkum,Berksan,Kalbime Dönüyorum,3
Benden Sonra,Metin Şentürk,Kalpten Kalbe,11
Dönemem Artık,Ümit Aksoy,Sustum,6
Yanımda Kal,Harun Kolçak,Yanımda Kal,5
Aglama,Nilgül,Ömürsüz Sevdalar,9
Güllü Güllü,Latif Dogan,Taverna Antepçe 5,4
Drakula,Izel,Aşk En Büyüktür Her Zaman,2
Dost Bildiklerim,Sibel Can,Daha Yolun Başındayım,6
Gariban,Mustafa Uğur,Derin Sevda,8
Seni Kalbime Gömdüm,Hakan Gürses,Üstü Kalsın,5
Gamzeli Yarim,İzmirli Taylan,Gamzeli Yarim,1
Kimi Yakacaksan,Ayhan Aşan,Aşkımla Vururum,2
Dualar,Eser Bayar,Aşkımı İtiraf Ediyorum,4
Suç Sende,Kürsat,Sıra Bende,8
Tek Kişilik,Nadide Sultan,Tek Kişilik,2
Canparem,Canel,Nehir Gözlüm,1
Aslan Gibi,Özcan Deniz,Aslan Gibi - Dokunma,1
Kimim Var,Cavit Karabey,Sevdiğimi Biliyorsun,6
Yüreğim,Çeşitli Sanatçılar,Karadenizin Altın Sanatçıları - Fırtına 1,10
İstifa,Asuman Krause,Çok Yalnızım,5
Yar Yar,Nurettin Bay,Beyaz Gülüm,2
O Eskidendi,Atilla Taş,Çikolata,3
Senin Aşkınla Yaşlanıyorum,Ali Kınık,Ali Ayşe'yi Seviyor,5
Tesadüfen,Ayça,Yikiliyo,3
Vurma,Azirha,Yolun Basindayim,4
Kul Bana Küstü,Ugur Isilak,Artık Geç Oldu,3
Ben Olmalıydım,Ali Tekinture,Canım Dediklerim,5
Affetmedim Kendimi,Hakan Peker,Yak Beni,3
Hiç Sevmedim,Neslihan,Hiç Sevmedim,5
Toza Döndüm,Nuray Hafiftas,Silayi Ver,9
Vurdular Beni ( Sivas Caddesi ),Enver Yılmaz,Vurdular Beni Gardaş,2
Potpuri: Araz Üste Buz Üste / Hayde Gidelum / Oynama Yorulursun,"Belkıs Akkale, İzzet Altınmeşe",Türküler Bizi Anlatır - 1 / Teberik,12
Her Gece Olmaz,Fatih Ürek,Sen İki Gözümsün,4
Boşuna,Abidin,Aşktan Yana,6
SeviyorumYa,Yıldırım Caner,My Rose - Benim Gülüm,8
Dudaklarin Cennet Degil,Cem Yıldız,Ask Imkansiz,7
Buraları,Mekin,Karagümrük Yanmasin - Sari Güller,3
Arpa Buğday Daneler,Sevcan Orhan,Düşten Gerçeğe,9
Gardas,İzzet Yıldızhan,Canimin Içi,12
Keskin Bıçak,Kurtuluş,Sevda Yüklü Şarkılar,5
Dolunay,Göktan,Beşinci Sonbahar,2
Urfalıyım Ezelden,Bedia Akartürk,Asker Yolu,5
Erguvan,Yeşim Salkım,Bazen,4
Ölmedim Anne,Mazlum,Ekmek Davası,1
El Diyemem,Tarik Tüfekçi,Tavana Vuracağım,4
Alçak (2011),Serdem Coşkun,Serdem-i Makamı,7
Olmaz Olmaz,Cengiz İmren,Bi Tanem,2
Sessiz Sessiz,Emirkan,Akşam Güneşi,5
Ablan Kurban Olsun Sana,Bülent Ersoy,Ablan Kurban Olsun Sana,6
Yalan,Hüseyin Tatlı,Varligin Yeter,5
Olsun,Zekai Tunca,Aşka Merakım Ezelden,9
Kısa Veda,Bayhan,Kısa Veda,1
Bitmeyen Çile,Safiye Soyman,Bir De Benden Dinleyin,7
Sılaya Doğru,Başkal,Başkal 2012,9
Benide Düşün Benide,Peçenekli Süleyman,İnadın İnadına,6
Niğde Bağları,Ekrem Düzgünoğlu,Karayel,2
Bu Gala Dasli Gala,Erhan Güleryüz,Doğumgünü,13
Anlatamadım,Sinem,Yağmur,3
İyi Yüreklim,Taner,Aşk Mazi Oldu,8
Yalvarırım,Tan Tasçi,Rica Ederim,6
Oldugu Kadar,Beyza Durmaz,Koku,4
Sensizim,Ebru Gündes,Ahdım Olsun,3
Bir Şans Daha,Gülben Ergen,Uzun Yol Şarkıları,9
Durum Vahim,Dilek Pınar,Randevu,9
Beter Oldum,Serap Sapaz,Aferin Sana,8
Kurtulam Gitsin,Dilber Ay,Belli Belli,8
Bilal-i Habeşi,Abdurrahman Önül,Bilal-i Habesi,1
Nimm mir mein Leben,Muhabbet,Universum,2
Bir Ateşe Attın Beni,Hamiyet,Hamiyet 5,5
Aklım Takıldı,Orhan Gencebay,Yalnız Değilsin,1
Isyanim Var,4 Yüz,+ enerji,7
Dalgalandım da Duruldum,Ali Seven,Dünyayı Garipler Yakar,10
Çakmak Çakmağa Geldik,Burhan Çaçan,Çakmak Çakmağa Geldik,1
Kış Masalı,Sibel Can,Galata,1
Aşk Yok Olmaktır,Yildiz Tilbe,Aşkperest,5
Bırak Beni,Tan Tasçi,Bırak Beni,1
Ah Bu Gönül Şarkıları,Ugur Karakus,Ah Bu Gönül Şarkıları,1
Yalan,İbrahim Tatlıses,Klasikleri,7
Ben Bu Gece Ölmezsem,Ümit Besen,Ben Bu Gece Ölmezsem,1
Ayrılacağım,Murat Göğebakan,Aşkın Gözyaşları,9
Farzet,Baha,Aşk Bahane,5
Sevda Delisi,Etkin,İnanırmısın,4
Bir Mana Var Sözlerinde,Haktan,"Müslüm Gürses Baba Şarkılar, Vol. 2",3
Yalancı Dünya,Ismail Türüt,Erkan Ocaklı,16
Gel Tekrar Deneyelim,Yakup Ekin,4 Dörtlük,2
Artık Üzülmek İstemiyorum,Petek Dinçöz,Milat,2
Vur Gitsin Beni,Murat Kursun,Seni Sevmek,6
Az Kaşar,Çubuklu Yaşar,İtekle Koçum,2
Bugün De Ölmedim Anne - Hekimoğlu,Oktay Kaynarca,Pop 2006,16
Nerde O Eski Sevdalar,Zeki Erdem,Yalnız Beni Sev (Esmer Esmer),13
Aşktan Sabıkalı,Bülent Ersoy,Aşktan Sabıkalı,2
Gardiyan,Murat Göğebakan,A Legend Of Anatolian Rock,6
Zoruma Gider,Sinan Zorbey,Zoruma Gider,1
Dertler Benim Olsun,Orhan Gencebay,Klasikler Sizin Seçtikleriniz Vol.1,11
Çek Tetiği,Berdan Mardini,Çek Tetiği,1
Yolun Başındayım,Azirha,Yolun Basindayim,9
may never know,Cengiz,help me from me,4
Bu Bizim Son Buluşmamız,Esengül,Gel Otur Arkadaşım,4
Sevdik Sevdalandık,Reyhan Karaca,"Şimdi 90'lar, Vol. 2",1
Kahveyi Kaynatırlar,Bedia Akartürk,Anam Ağlar,1
Loy Loy,Latif Dogan,Kurtulam Gitsin,13
İsyan,Hakan Gürses,Sevda Yüklü Şarkılar,9
Helvanı Yerim,Küçük İbo,Sensiz Olmuyor Gülüm,2
Sevemiyorum,Ümit Yaşar,Maraz,1
Nazlı Yar,Sevcan Orhan,Adı Aşk,1
Imkansiz Ask (feat. Husnu Senlendirici),Cem Yıldız,Ask Imkansiz,3
Bir Sana,Taner,Aşk Mazi Oldu,5
Senin Olmaya Geldim,Ebru Gündes,Ahdım Olsun,12
Hacı Ağa (Sarı Sabahlık),Dilber Ay,Haci Aga,1
Aşkın Anahtarı,Aslı Güngör,Enerji,2
Bir Ihtimal,Muhabbet,Susmam,1
Seni Biraz Fazla Sevdim,Alişan,Seni Biraz Fazla Sevdim,1
Firar,Enver Yılmaz,Firar,2
Kal Gittiğin Yerde,Ercan Demirel,Kal Gittiğin Yerde,1
Gitme Sevgilim,Emrah,Haydi Şimdi,11
Ok,Niran Ünsal,Ok,1
Güzel Alsın Canımı,Hakkı Bulut,Güzel Alsın Canımı - Sarı Kız,6
Ayrılık Ateşten Bir Ok,Sibel Can,"Müslüm Gürses Baba Şarkılar, Vol. 1",4
Kafam Almıyor Vedanı,Ankaralı Namık,Oğlumun Tabancası Tak Tak Eder Amcası,9
Yarala Beni,Ugur Isilak,Yıldırım Gibi,9
Kömür Gözlüm,Sevcan Orhan,Düşten Gerçeğe,2
Para Bitti Aşk Bitti,Çeşitli Sanatçılar,Tarabya Geceleri,6
Yetmez Ki,Ümit Besen,Ben Bu Gece Ölmezsem,12
Çok Yalnızım,Yusuf Harputlu,Zamanı Geldi,5
Yaralı Kalbim,Baha,Aşk Bahane,4
Vallahi,Zafer Peker,Vallahi,1
Ay Gördüm Allah (Remix),Mahmut Tuncer,Mahmut Tuncer 2013,7
Nechrilek Léon (Live),DJ Nassim,DJ Nassim Live - Réveillon 2013 (Live),31
Yağmur (Dream Mix),Sinem,Yağmur,1
Hayatları Değirmi (Aman Eşref),Gülay,Damlalar 3,2
Dalgalandım da Duruldum,Coskun Sabah,Bir Pazar Günü,6
Rabbim Korur,Altay,Berduş,2
Dokumacı Kızlar,Murat Kursun,2014,1
Neyliyem,"Belkıs Akkale, İzzet Altınmeşe",Türküler Bizi Anlatır - 1 / Teberik,7
Hazan,Burçin,Hazan,1
Sen Belalım,Zeki Erdem,Bir Daha,1
Günül Hırsızı,Murat Başaran,İşte O Sensin,2
